Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-01-04 00:00:00-05:00,7.8803816716667745,7.951156457504248,7.819369117871233,7.899905204772949,35807600,0.0,0.0
2016-01-05 00:00:00-05:00,8.04877615680582,8.16103903475142,7.931632162735058,8.026811599731445,49027200,0.0,0.0
2016-01-06 00:00:00-05:00,7.895024497395918,7.931632403959131,7.604605061449091,7.69490385055542,44934400,0.0,0.0
2016-01-07 00:00:00-05:00,7.502103477202248,7.553354263886984,7.2922201454731335,7.389840602874756,64530400,0.0,0.0
2016-01-08 00:00:00-05:00,7.485020794590541,7.492342469283565,7.216565440535213,7.231208324432373,39847200,0.0,0.0
2016-01-11 00:00:00-05:00,7.238529947720597,7.294661390168495,7.11406427175642,7.243411064147949,40937200,0.0,0.0
2016-01-12 00:00:00-05:00,7.372757286165914,7.472818309547631,7.314185286337583,7.36543607711792,46935600,0.0,0.0
2016-01-13 00:00:00-05:00,7.421567834288247,7.470378068964749,7.133588473772461,7.1409101486206055,48167200,0.0,0.0
2016-01-14 00:00:00-05:00,6.9944795506378705,7.07745666603044,6.789477320313741,6.996920108795166,60023600,0.0,0.0
2016-01-15 00:00:00-05:00,6.716262434554125,6.79679899175347,6.5014979716966215,6.616201877593994,84145200,0.0,0.0
2016-01-19 00:00:00-05:00,6.75286942086012,6.943228754816574,6.64304663867585,6.669892311096191,45714000,0.0,0.0
2016-01-20 00:00:00-05:00,6.542985919260857,6.791917242115426,6.455128161274231,6.7064995765686035,48118000,0.0,0.0
2016-01-21 00:00:00-05:00,6.779715792178493,6.889538120195136,6.6406067652418574,6.7845964431762695,48145600,0.0,0.0
2016-01-22 00:00:00-05:00,6.913943440998355,6.98959888681683,6.899300556595499,6.943229675292969,25799600,0.0,0.0
2016-01-25 00:00:00-05:00,6.940789434419745,7.021326000552205,6.921265432493359,6.935908317565918,27072800,0.0,0.0
2016-01-26 00:00:00-05:00,6.950551540013295,7.0335286686003196,6.8797772041531555,7.004242897033691,22794400,0.0,0.0
2016-01-27 00:00:00-05:00,6.994479049114015,7.016443605465885,6.789476833489123,6.921264171600342,23170000,0.0,0.0
2016-01-28 00:00:00-05:00,6.977396057836572,7.001801173741612,6.711381271998258,6.845608711242676,27677600,0.0,0.0
2016-01-29 00:00:00-05:00,6.904181274769882,7.162874389905437,6.877335600339887,7.148231506347656,31050400,0.0,0.0
2016-02-01 00:00:00-05:00,7.1409092388507345,7.187278909336908,7.0798966860227095,7.150671005249023,28988400,0.0,0.0
2016-02-02 00:00:00-05:00,7.07745699781824,7.114064440916073,6.799239871688039,6.848049640655518,34190800,0.0,0.0
2016-02-03 00:00:00-05:00,6.9017414090922005,6.943229971242795,6.7235843683932215,6.8822174072265625,32677200,0.0,0.0
2016-02-04 00:00:00-05:00,6.8919781034098895,7.0408488854100115,6.8163226661344005,6.8846564292907715,34814000,0.0,0.0
